EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010027747,BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA,% KATHLEEN COTTERLY,282 MAINE ST,POLAND,ME,04274-5105,1156,08,9,1000,195110,1,00,279265000,5,01,202403,0,0,02,0,03,0,0,0,,LEWISTON LODGE 371
010027748,BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA,,0188 PORTLAND 1945 B CONGRESS STREE,PORTLAND,ME,04102-0000,1156,08,9,1000,195110,1,00,279265000,5,01,202303,6,6,01,0,03,1274654,1126820,345647,,0188 PORTLAND
010027751,BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA,,PO BOX 983,ROCKLAND,ME,04841-0983,1156,08,9,1000,195110,1,00,279265000,5,01,202403,5,6,01,0,03,941277,2038927,508017,,1008 ROCKLAND
010028850,BERWICK CEMETERY ASSOCIATION INC,% RON VIGUE,PO BOX 227,BERWICK,ME,03901-0227,0000,13,3,2000,201609,1,00,000000000,1,01,202312,6,4,01,0,12,2755299,207687,113326,Y50,
010029480,BIDDEFORD SACO CHAMBER OF COMMERCE INC,,28 WATER ST STE 1,BIDDEFORD,ME,04005-5604,0000,06,3,1000,194511,2,00,200000000,1,01,202412,3,4,01,0,12,52202,163138,163138,,
010032215,BOOTHBAY HARBOR YACHT CLUB,,PO BOX 497,W BOOTHBY HBR,ME,04575-0497,0000,07,3,1000,196808,2,00,280318319,1,01,202312,6,6,01,0,12,2753384,1370449,1207055,,
010039552,CAMDEN YACHT CLUB,,68 BAY VIEW ST,CAMDEN,ME,04843-2242,0000,07,3,1000,196710,2,00,319317000,1,01,202312,5,5,01,0,12,669771,731150,706417,,
010043280,PORTLAND REGIONAL CHAMBER,,93 EXCHANGE ST,PORTLAND,ME,04101-5001,0000,06,3,3000,195201,2,00,200403279,1,01,202306,6,6,01,0,06,2307675,1256853,1115189,,
010043285,LEWISTON AUBURN METROPOLITAN CHAMBER OF COMMERCE,,415 LISBON ST STE 100,LEWISTON,ME,04240-7663,0000,06,3,3000,194102,2,00,200403279,1,01,202312,5,5,01,0,12,945197,868592,834155,,
010044660,CHRISTIAN CIVIC LEAGUE OF MAINE INC,,499 BROADWAY PMB 362,BANGOR,ME,04401-3460,0000,04,3,1000,194310,2,00,059029000,1,01,202312,4,4,01,0,12,215320,405163,405163,X20Z,
010052240,CUMBERLAND BAR ASSOCIATION,% PETRUCCELLI MARTIN & HADDOW LLP,PO BOX 434,FREEPORT,ME,04032-0434,0000,06,3,2000,193408,2,00,061205040,1,01,202312,0,0,02,0,12,0,0,0,,CLEAVES LAW LIBRARY
010052260,CUMBERLAND CLUB,,116 HIGH ST,PORTLAND,ME,04101-3815,0000,07,3,1000,194206,2,00,319916000,1,01,202312,6,6,01,0,12,1799731,2775190,1655969,N50,
010055140,HALLOWELL CENTENNIAL BURIAL GROUND ASSN INC,,10 LITCHFIELD RD,HALLOWELL,ME,04347-1109,0000,13,3,1000,197603,0,00,000000000,5,01,202406,6,4,01,0,06,1036636,168401,133258,,
010056837,EASTERN MAINE ELECTRIC COOPERATIVE INC,% SCOTT HALLOWELL CONTROLLER,PO BOX 425,CALAIS,ME,04619-0425,0000,12,3,1000,196406,2,00,279000000,3,01,202312,9,8,01,0,12,53940615,17279980,17279980,,
010056995,NATIONAL KITCHEN & BATH ASSO,% GAIL KRUSEC,19 ALLEN DR,WINDHAM,ME,04062-4517,3379,06,9,2000,199407,2,00,200000000,5,01,202412,0,0,02,0,12,0,0,0,,MAINE CHAPTER
010061300,FRATERNAL ORDER OF EAGLES,,164 WATER ST,SKOWHEGAN,ME,04976-1735,0102,08,9,1000,199108,2,00,260000000,5,01,202405,4,6,01,0,05,112173,1174401,89873,,1457 AERIE
010061310,FRATERNAL ORDER OF EAGLES,% AERIE SECRETARY,184 SAINT JOHN ST,PORTLAND,ME,04102-3021,0102,08,9,1000,199108,2,00,260000000,5,01,202405,5,6,01,0,05,539174,1397865,513488,,AERIE SECRATARY
010063057,FRATERNAL ORDER OF EAGLES,,57 BIRCH ST,BIDDEFORD,ME,04005-3311,0102,08,9,1000,199108,2,00,260000000,5,01,202305,4,5,01,0,12,312000,562963,562963,,804 AERIE
010063430,BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA,,76 INDUSTRIAL ST,WATERVILLE,ME,04901-5774,1156,08,9,1000,195110,1,00,279265000,5,01,202403,6,6,01,0,03,1543457,2765119,1030876,,905 WATERVILLE
010067817,INDEPENDENT ORDER OF ODD FELLOWS,% MICHAEL FOSTER,80 CARON LN,AUBURN,ME,04210-4289,0028,08,9,1000,197211,1,00,036382265,5,01,202312,0,0,02,0,12,0,0,0,,53 MARINERS LDG
010072838,FRATERNAL ORDER OF EAGLES,,1327 SABATTUS ST,LEWISTON,ME,04240-2115,0102,08,9,1000,199108,2,00,260000000,5,01,202405,4,5,01,0,05,428115,783172,322898,,618 AERIE
010083190,GREENWOOD CEMETERY ASSOCIATION,,PO BOX 1323,BIDDEFORD,ME,04005-1323,0000,13,3,2000,197502,2,00,900000000,1,01,202403,6,5,01,0,03,1808683,635583,87383,,
010085716,HANCOCK COUNTY AGRICULTURAL SOCIETY,% PETER O BRIEN TREASURER,PO BOX 390,BLUE HILL,ME,04614-0390,0000,03,3,1000,202205,1,16,000000000,1,01,202312,4,5,01,0,12,491794,550252,550252,N52,
010086202,HARBOR CLUB INC,% THERESA MERCHANT,PO BOX 884,MOUNT DESERT,ME,04660-0884,0000,07,3,1000,194702,2,00,318000000,1,01,202410,6,5,01,0,10,2341658,940569,940569,,
010092600,HOPE CEMETERY CORPORATION,% THOMAS F DOBENS,PO BOX 211,KENNEBUNK,ME,04043-0211,0000,13,3,2000,195209,1,00,900000000,1,01,202303,6,5,01,0,03,1458614,583096,118690,,
010095329,IMPROVED ORDER OF REDMEN OF MAINE,,PO BOX 119,SEBAGO,ME,04029-0119,0280,10,6,1000,194101,1,00,279265000,5,01,202312,4,3,01,0,12,288840,54619,14724,,GREAT COUNCIL
010095413,INDEPENDENT ORDER OF ODD FELLOWS,% RONALD A BRANN,80 CARON LN,AUBURN,ME,04210-4289,0028,08,9,1000,196205,1,00,036000000,5,01,202312,0,0,02,0,12,0,0,0,,MAINE GRAND ENCAMPMENT
010095414,INDEPENDENT ORDER OF ODD FELLOWS,% MICHAEL G ANDERSON,80 CARON LN,AUBURN,ME,04210-4289,0028,08,9,1000,196205,1,00,036382265,5,01,202406,7,6,01,0,06,5930339,2470779,529495,,MAINE GRAND LODGE
010095497,INDEPENDENT ORDER OF ODD FELLOWS,% WALTER RILEY,80 CARON LN,AUBURN,ME,04210-4289,0028,08,9,1000,197211,1,00,036382265,5,01,202312,0,0,02,0,12,0,0,0,,82 SEARS LODGE
010095705,INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS,% DARRELL MILLER,238 GODDARD RD,LEWISTON,ME,04240-1051,0064,05,9,3000,194008,2,00,263264279,5,01,202312,6,6,01,0,12,1828512,1351375,1351375,,0567 LOCAL UNION
010095740,INTERNATIONAL BROTHERHOOD OF TEAMSTERS,,27 MAIN ST,S PORTLAND,ME,04106-2617,0320,05,9,3000,194102,2,00,911000000,5,01,202312,6,6,01,0,12,2656554,2865819,2815406,,340 TCWH
010095770,UNITED STEELWORKERS,% MADISON STAPLES,PO BOX 1565,BUCKSPORT,ME,04416-1565,0260,05,9,3000,194012,2,00,263059269,5,01,202412,0,0,02,0,12,0,0,0,,01188 LOCAL
010096117,ISLAND COUNTRY CLUB,,442 SUNSET RD,DEER ISLE,ME,04627-3869,0000,07,3,1000,200002,2,00,000000000,1,01,202312,5,4,01,0,12,535953,370557,354550,N50,
010096152,ISLAND HOME CLUB,% J COSSEBOOM,156 MEADOW LN,NEW GLOUCESTR,ME,04260-3630,0000,07,3,1000,199807,2,00,319000000,1,01,202312,4,4,01,0,12,147158,132791,132791,,
010100593,KENNEBUNK RIVER CLUB,,PO BOX 994,KENNEBUNKPORT,ME,04046-0994,0000,07,3,1000,196007,2,00,318319317,1,01,202312,6,5,01,0,12,3744609,808025,808025,,
010102346,KNIGHTS OF PYTHIAS OF MAINE GRAND LODGE,% HARRY SPENCER,21 OAK HILL RD,OTIS,ME,04605-6831,0012,08,6,1000,194006,1,00,279000000,5,01,202412,0,0,02,0,12,0,0,0,,
010104905,LAUREL HILL CEMETERY ASSOCIATION,,293 BEACH ST,SACO,ME,04072-2935,0000,13,3,1000,199010,1,00,900000000,5,01,202411,8,6,01,0,11,16257727,4376275,1650426,,
010112977,ANCIENT ACCEPTED SCOTTISH RITE OF FREE MASONRY NMJ,,415 CONGRESS STREET,PORTLAND,ME,04101-3500,0259,10,9,1000,194012,1,00,279265319,5,01,202407,7,6,01,0,07,7024567,3156916,621865,,VALLEY OF PORTLAND CONSISTORY
010113840,AMERICAN FEDERATION OF LABOR & CONGRESS OF INDUSTRIAL ORGS,% CYNTHIA PHINNEY,21 GABRIEL DR,AUGUSTA,ME,04330-7852,1338,05,9,3000,195605,2,00,263264480,5,01,202312,4,6,01,0,12,269517,1622105,1617256,,AFL-CIO MAINE STATE
010114035,MAINE EDUCATION ASSOCIATION,,35 COMMUNITY DR,AUGUSTA,ME,04330-8005,0000,05,3,3000,197604,2,00,261263033,1,01,202308,7,7,01,0,08,7525434,9491884,9463505,,
010114110,MAINE WATER UTILITIES ASSOCIATION,,15 UNIVERSITY DR,AUGUSTA,ME,04330-8042,0000,06,3,1000,199504,0,00,000000000,1,01,202312,5,6,01,0,12,684740,1031483,1031483,,
010114140,MAINE WOMANS CHRISTIAN TEMPERANCE,% JANET L PERKINS,714 CONGRESS ST,PORTLAND,ME,04102-3306,0000,04,2,1000,192911,2,00,059328029,1,01,202408,4,3,02,0,08,305717,42900,29227,,
010114721,MECHANIC FALLS MAPLE GROVE CEMETERY INC,% LUCILLE R HODSDON,67 ROBERTS RD,NORWAY,ME,04268-5328,0000,13,3,1000,194105,1,00,900000000,1,01,202412,0,0,02,0,12,0,0,0,,
010116360,WATERVILLE MASONIC ASSOCIATION,% JOSHUA A WARD,250 COUNTY RD,WATERVILLE,ME,04901-0000,0000,02,3,1000,198002,2,00,912260000,1,01,202410,0,0,02,0,10,0,0,0,,
010116380,MASONIC TRUSTEES OF PORTLAND,% MARLON E WELCH,415 CONGRESS STREET,PORTLAND,ME,04101-3500,0000,02,3,1000,201409,2,00,399000000,1,01,202312,5,4,01,0,12,883294,132611,132611,S47,
010116390,SHRINERS INTERNATIONAL,% KORA SHRINERS,11 SABATTUS ST,LEWISTON,ME,04240-7038,0229,10,9,1000,194011,1,00,036000000,5,01,202312,6,6,01,0,12,2254677,1379639,545364,,KORA SHRINERS
010119375,MEGANTIC FISH & GAME CORP,% TREASURER,6 FUNDY CIRCLE,FALMOUTH,ME,04105-1779,0000,07,3,1000,194408,2,00,350281318,1,01,202410,6,6,01,0,10,4664015,1159881,991752,N61Z,
010119385,MEGUNTICOOK GOLF CLUB,,PO BOX 806,ROCKPORT,ME,04856-0806,0000,07,3,1000,196711,2,00,280318319,1,01,202310,6,6,01,0,10,1373124,1072918,1072918,,
010124810,MT HOPE CEMETERY CORP,% RICHARD HARNUM,1048 STATE ST,BANGOR,ME,04401-5694,0000,13,3,2000,193410,1,00,900901000,1,01,202412,8,6,01,0,12,15122125,3006209,1610876,,
010124841,MT PLEASANT CEMETERY CORP,,PO BOX 2383,S PORTLAND,ME,04116-2383,0000,13,3,2000,197301,1,00,900000000,1,01,202312,6,3,01,0,12,1177079,64049,64049,,
010127336,NEW AUBURN SOCIAL CLUB INC,,7 SECOND ST,AUBURN,ME,04210-6847,0000,07,3,1000,195111,2,00,319000000,1,01,202312,5,5,01,0,12,705685,729654,355104,,
010129660,BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA,,9 LAMBARD ST,BATH,ME,04530-2511,1156,08,9,1000,195110,1,00,279265000,5,01,202403,5,6,01,0,03,625212,1462859,232076,,934 BATH
010130065,NORTH AUBURN CEMETERY ASSOCIATION INC,% TERRY LEBEL,625 N AUBURN RD,AUBURN,ME,04210-8716,0000,13,3,2000,198310,1,00,900901000,1,01,202404,0,0,02,0,04,0,0,0,,
010130185,NORTH HAVEN CASINO,,PO BOX 337,NORTH HAVEN,ME,04853-0337,0000,04,3,1000,198105,2,00,297429000,1,01,202312,5,4,01,0,12,734226,271293,271293,,
010130335,NORTHEAST HARBOR TENNIS CLUB,,PO BOX 402,MOUNT DESERT,ME,04660-0402,0000,07,3,1000,196412,2,00,318000000,1,01,202409,8,7,01,0,09,10449089,9172996,8958715,,
010130427,BRIDGTON HOSPITAL,% JOHN WHITLOCK,10 HOSPITAL DR,BRIDGTON,ME,04009-1148,0000,03,3,1000,195002,1,12,150000000,1,01,202306,8,9,01,0,06,38216754,73106682,70381096,E220,
010130865,NORWAY PINE GROVE CEMETERY CORP,% STUART GOODWIN,PO BOX 85,NORWAY,ME,04268-0085,0000,13,3,1000,201604,1,00,900000000,1,01,202404,5,3,01,0,04,736281,65123,45624,Y50,
010131335,OAK GROVE CEMETERY ASSO,,25 KAREN DR,GARDINER,ME,04345-2316,0000,13,3,2000,194203,1,00,900000000,5,01,202312,6,4,01,0,12,1602636,176666,66169,,
010131390,OAKDALE COUNTRY CLUB,% DEBORAH GURNEY,PO BOX 274,MEXICO,ME,04257-0274,0000,04,3,2000,200002,2,00,000000000,1,01,202412,4,4,01,0,12,356513,331273,294999,N31,
010131950,PLANT MEMORIAL HOME,,1 WASHINGTON ST,BATH,ME,04530-1634,0000,03,3,1000,197202,1,02,382000000,1,01,202312,6,5,00,1,12,4867684,517225,,,
010132610,ORCHARD GROVE CEMETERY ASSOCIATION,,PO BOX 935,KITTERY,ME,03904-0935,0000,13,3,1000,194808,1,00,900901000,5,01,202312,5,3,01,0,12,904358,54559,54559,Y52Z,
010132625,ORDER OF THE EASTERN STAR OF MAINE,,PO BOX 5186,AUGUSTA,ME,04332-5186,0302,08,6,1000,194101,1,00,036279319,5,01,202403,6,3,01,0,03,2912942,85976,85976,,GRAND CHAPTER OF MAINE
010133155,AMERICAN LEGION,% TRICIA THURSTON,184 CONGRESS ST,RUMFORD,ME,04276-2034,0925,19,9,1000,194603,1,00,907908000,5,01,202404,3,4,01,0,04,78211,166754,109034,W30Z,24 NAPOLEON OUELLETTE POST
010133442,OXFORD COUNTY AGRICULTURAL SOCIETY,,PO BOX 193,NORWAY,ME,04268-0193,0000,03,3,1000,199508,1,15,995065000,1,01,202312,4,4,01,0,12,415648,374620,374620,Z99,
010135937,LE PASSE-TEMPS INC,% LE PASSE-TEMPS INC,45 CEDAR ST,LEWISTON,ME,04240-7803,0000,07,3,1000,198103,2,00,318319000,5,01,202312,5,4,01,0,12,646024,451185,315329,,
010140283,PINE GROVE CEMETERY ASSOCIATION,% JAYNE PALMER,1 APPLE TREE DR,BRUNSWICK,ME,04011-7415,0000,13,3,1000,200809,1,00,900000000,1,01,202312,0,0,02,0,12,0,0,0,Y50,
010140290,PINE GROVE CEMETERY CORP,% SBAS,9 WAITES LANDING RD,FALMOUTH,ME,04105-1931,0000,13,3,2000,197104,1,00,900000000,1,01,202312,6,6,01,0,12,2763942,1505472,272056,,
010142590,THE PORTLAND CLUB,,156 STATE ST,PORTLAND,ME,04101-3703,0000,03,3,1200,202404,1,16,282000000,1,01,199706,4,3,01,0,12,,,,A82,
010142655,KNIGHTS OF COLUMBUS,% RAYMOND JOS DIDONATO SR,29 EDWARDS ST,PORTLAND,ME,04102-2533,0188,08,9,1000,194010,1,00,036029265,5,01,202412,0,0,02,0,12,0,0,0,,101 PORTLAND COUNCIL
010142660,PORTLAND COUNTRY CLUB,,11 FORESIDE RD,FALMOUTH,ME,04105-1730,0000,07,3,1000,193409,2,00,280000000,1,01,202403,8,7,01,0,03,16964521,9044449,5920896,,
010143485,PORTLAND YACHT CLUB,,40 OLD POWERHOUSE RD,FALMOUTH,ME,04105-1616,0000,07,3,1000,196702,2,00,317000000,1,01,202410,6,6,01,0,10,1683172,1540074,1540074,,
010144835,ANCIENT ACCEPTED SCOTTISH RITE OF FREE MASONRY NMJ,,415 CONGRESS STREET,PORTLAND,ME,04101-3500,0259,10,9,1000,194012,1,00,279265319,5,01,202407,6,6,01,0,07,4086918,1713033,358025,,VALLEY PORTLAND PRINCES-JERUSALEM
010145133,PROUTS NECK ASSOCIATION,,499 BLACK POINT RD,SCARBOROUGH,ME,04074-8616,0000,03,3,1200,195503,1,16,059904062,5,01,202312,6,4,01,0,12,1194545,297189,297189,,
010145135,PROUTS NECK COUNTRY CLUB,,499 BLACK POINT RD,SCARBOROUGH,ME,04074-8616,0000,07,3,1000,192507,2,00,280318319,1,01,202310,7,6,01,0,10,5218010,3038746,3032560,,
010145138,PROUTS NECK YACHT CLUB,,499 BLACK POINT RD,SCARBOROUGH,ME,04074-8616,0000,07,3,1000,197205,2,00,279319317,1,01,202312,4,5,01,0,12,402981,526486,517185,,
010145780,PURPOODOCK CLUB,,300 SPURWINK AVE,CAPE ELIZ,ME,04107-9614,0000,07,3,1000,194206,2,00,280000000,1,01,202409,6,6,01,0,09,4642228,4487337,2786103,,
010147000,RANGELEY LIBRARY ASSOCIATION,,PO BOX 381,RANGELEY,ME,04970-0381,0000,03,3,3000,195906,1,16,061000000,1,01,202206,6,4,01,0,06,1668594,160162,158485,B71Z,
010149981,RIVERSIDE CEMETERY ASSOCIATION OF BRUNSWICK MAINE,% BRUNSWICK BUSINESS CENTER,18 PLEASANT STREET SUITE 1919,BRUNSWICK,ME,04011-2201,0000,13,3,2000,202008,1,00,000000000,1,01,202412,0,0,02,0,12,0,0,0,Y50,
010152188,ROTARY INTERNATIONAL,% JOHN CURRAN,PO BOX 1755,PORTLAND,ME,04104-1755,0573,04,9,3000,194209,2,00,520349200,1,01,202406,0,0,02,0,06,0,0,0,,PORTLAND ROTARY CLUB
010153128,GREATER RUMFORD COMMUNITY CENTER,% KIM POWERS,PO BOX 239,RUMFORD,ME,04276-0239,0000,03,3,2000,195705,1,15,030000000,1,01,202308,3,4,01,0,08,43771,241870,236052,,
010153868,SAGADAHOC AGRICULTURAL & HORTICULTURAL SOCIETY,% TOPSHAM FAIR,PO BOX 236,TOPSHAM,ME,04086-0236,0000,05,3,1000,201701,2,00,065207000,5,01,202210,6,6,01,0,10,1580823,1187451,1187451,K20,
010155360,MAINE BANKERS ASSOCIATION,,2 THOMAS DR,WESTBROOK,ME,04092-3824,0000,06,3,2000,194307,2,00,200920264,5,01,202312,6,6,01,0,12,2211432,2703164,2703164,,
010157446,SHAKER SOCIETY,% SHAKER SOCIETY,707 SHAKER RD,NEW GLOUCESTR,ME,04260-2652,0000,03,3,1000,199902,2,15,000000000,5,01,199712,0,0,00,0,12,,,,X99,
010158946,SIGMA DELTA SORORITY,% CAROLINE ALLAN,DARTMOUTH COLLEGE 5221 HINMAN,HANOVER,NH,03755-0000,0000,07,3,1000,199508,2,00,036000000,5,01,202306,3,4,01,0,06,64021,132012,132012,,
